dummy index,Unique Identifier,BACnet Device ID,BACnet Object Type,BACnet Object ID,Johnson Controls Name,BACnet Name,BACnet Description,BACnet Unit,Ground Truth Point Type,Point Ref,Location,Equipment Type,Equipment Ref,Equipment Subsystems,Building,Comments,BACnet Type Str
3605,505_0_3000326,505,0,3000326,EBU3B.CHWP1.AI2-ACTUAL,NAE 05 N2 1 NAE5 T1 VND075  CHWP1 VFD 21 AI2 ACTUAL,AI 2 Actual,98,AI 2 Actual,,Rm_B102C,VFD,,Chilled Water System -> Pump -> 1 -> VFD,EBU3B,,Analog Input
3626,505_0_3000366,505,0,3000366,EBU3B.CHWP2.AI2-ACTUAL,NAE 05 N2 1 NAE5 T1 VND22  CHWP2 VFD 22 AI2 ACTUAL,AI 2 Actual,98,AI 2 Actual,,Rm_B102C,VFD,,Chilled Water System -> Pump -> 2 -> VFD,EBU3B,,Analog Input
3750,505_0_3000406,505,0,3000406,EBU3B.HWP1.AI2-ACTUAL,NAE 05 N2 1 NAE5 T1 VND23  HWP1 VFD 23 AI2 ACTUAL,AI 2 Actual,98,AI 2 Actual,,Rm_B102C,VFD,1,Hot Water System -> Pump -> 1 -> VFD,EBU3B,,Analog Input
3771,505_0_3000446,505,0,3000446,EBU3B.HWP2.AI2-ACTUAL,NAE 05 N2 1 NAE5 T1 VND24  HWP2 VFD 1 AI2 ACTUAL,AI 2 Actual,98,AI 2 Actual,,Rm_B102C,VFD,2,Hot Water System -> Pump -> 2 -> VFD,EBU3B,,Analog Input
4234,505_3_3015273,505,3,3015273,EBU3B.CRAC-1.ALRMPRES,NAE 05 N2 2 VND 162 ALRMPRES,Alarm Present,,Alarm Present,,Server Room,CRAC,1,CRAC -> 1,EBU3B,,Binary Input
4235,505_3_3015337,505,3,3015337,EBU3B.CRAC-2.ALRMPRES,NAE 05 N2 2 VND 163 ALRMPRES,Alarm Present,,Alarm Present,,Server Room,CRAC,2,CRAC -> 2,EBU3B,,Binary Input
4236,505_3_3015209,505,3,3015209,EBU3B.CRAC-3.ALRMPRES,NAE 05 N2 2 VND 161 ALRMPRES,Alarm Present,,Alarm Present,,Server Room,CRAC,3,CRAC -> 3,EBU3B,,Binary Input
4237,505_3_3015145,505,3,3015145,EBU3B.CRAC-4.ALRMPRES,NAE 05 N2 2 VND 160 ALRMPRES,Alarm Present,,Alarm Present,,Server Room,CRAC,4,CRAC -> 4,EBU3B,,Binary Input
3793,505_1_3000653,505,1,3000653,EBU3B.RF1.AO1-CMD,NAE 05 N2 1 NAE5 T1 VND45  RF 1 VFD 45 AO1 CMD,AO1 Command Point,98,AO1 Command Point,,Rm_B102C,VFD,1,AHU -> 1 -> Return Fan -> 1 -> VFD,EBU3B,,Analog Output
3814,505_1_3000693,505,1,3000693,EBU3B.RF2.AO1-CMD,NAE 05 N2 1 NAE5 T1 VND46  RF 2 VFD 46 AO1 CMD,AO1 Command Point,98,AO1 Command Point,,Rm_B102C,VFD,2,AHU -> 1 -> Return Fan -> 2 -> VFD,EBU3B,,Analog Output
3835,505_1_3000733,505,1,3000733,EBU3B.RF3.AO1-CMD,NAE 05 N2 1 NAE5 T1 VND47  RF 3 VFD 47 AO1 CMD,AO1 Command Point,98,AO1 Command Point,,Rm_B102C,VFD,3,AHU -> 1 -> Return Fan -> 3 -> VFD,EBU3B,,Analog Output
3856,505_1_3000773,505,1,3000773,EBU3B.RF4.AO1-CMD,NAE 05 N2 1 NAE5 T1 VND48  RF 4 VFD 48 AO1 CMD,AO1 Command Point,98,AO1 Command Point,,Rm_B102C,VFD,4,AHU -> 1 -> Return Fan -> 4 -> VFD,EBU3B,,Analog Output
4449,505_1_3000491,505,1,3000491,EBU3B.SF1.AO1-CMD,NAE 05 N2 1 NAE5 T1 VND41  SF 1 VFD 41 AO1 CMD,AO1 Command Point,98,AO1 Command Point,,Rm_B102C,VFD,1,AHU -> 1 -> Supply Fan -> 1 -> VFD,EBU3B,,Analog Output
4470,505_1_3000533,505,1,3000533,EBU3B.SF2.AO1-CMD,NAE 05 N2 1 NAE5 T1 VND42  SF 2 VFD 42 AO1 CMD,AO1 Command Point,98,AO1 Command Point,,Rm_B102C,VFD,2,AHU -> 1 -> Supply Fan -> 2 -> VFD,EBU3B,,Analog Output
4491,505_1_3000573,505,1,3000573,EBU3B.SF3.AO1-CMD,NAE 05 N2 1 NAE5 T1 VND43  SF 3 VFD 43 AO1 CMD,AO1 Command Point,98,AO1 Command Point,,Rm_B102C,VFD,3,AHU -> 1 -> Supply Fan -> 3 -> VFD,EBU3B,,Analog Output
4512,505_1_3000613,505,1,3000613,EBU3B.SF4.AO1-CMD,NAE 05 N2 1 NAE5 T1 VND44  SF 4 VFD 44 AO1 CMD,AO1 Command Point,98,AO1 Command Point,,Rm_B102C,VFD,4,AHU -> 1 -> Supply Fan -> 4 -> VFD,EBU3B,,Analog Output
3606,505_1_3000329,505,1,3000329,EBU3B.CHWP1.AO1-CMD,NAE 05 N2 1 NAE5 T1 VND075  CHWP1 VFD 21 AO1 CMD,AO1 Command Point,98,AO1 Command Point,,Rm_B102C,VFD,,Chilled Water System -> Pump -> 1 -> VFD,EBU3B,,Analog Output
3627,505_1_3000371,505,1,3000371,EBU3B.CHWP2.AO1-CMD,NAE 05 N2 1 NAE5 T1 VND22  CHWP2 VFD 22 AO1 CMD,AO1 Command Point,98,AO1 Command Point,,Rm_B102C,VFD,,Chilled Water System -> Pump -> 2 -> VFD,EBU3B,,Analog Output
3751,505_1_3000413,505,1,3000413,EBU3B.HWP1.AO1-CMD,NAE 05 N2 1 NAE5 T1 VND23  HWP1 VFD 23 AO1 CMD,AO1 Command Point,98,AO1 Command Point,,Rm_B102C,VFD,1,Hot Water System -> Pump -> 1 -> VFD,EBU3B,,Analog Output
3772,505_1_3000455,505,1,3000455,EBU3B.HWP2.AO1-CMD,NAE 05 N2 1 NAE5 T1 VND24  HWP2 VFD 1 AO1 CMD,AO1 Command Point,98,AO1 Command Point,,Rm_B102C,VFD,2,Hot Water System -> Pump -> 2 -> VFD,EBU3B,,Analog Output
4558,505_2_3002099,505,2,3002099,EBU3B.BLDG-AVG..AVG CLG DEMAND,NAE 05 Programming AVERAGE FLOOR COOLING DEMAND BLDG AVG,AVERAGE COOLING DEMAND IN BUILDING,302,Average Cooling Demand,Building,,HVAC,,HVAC,EBU3B,,Analog Value
781,505_2_3002098,505,2,3002098,EBU3B.Rm-1xxx..1ST-AVG,NAE 05 Programming AVERAGE FLOOR COOLING DEMAND 1ST AVG,AVERAGE COOLING DEMAND ON 1ST FLR,302,Average Cooling Demand,1st Floor,Rm_1xxx,HVAC,,HVAC,EBU3B,,Analog Value
1695,506_2_3003387,506,2,3003387,EBU3B.RM-2xxx..2ND-AVG,NAE 06 Programming AVERAGE FLOOR COOLING DEMAND 2ND AVG,AVERAGE COOLING DEMAND ON FLR,98,Average Cooling Demand,2nd Floor,Rm_2xxx,HVAC,,HVAC,EBU3B,,Analog Value
2616,506_2_3003388,506,2,3003388,EBU3B.RM-3xxx..3RD-AVG,NAE 06 Programming AVERAGE FLOOR COOLING DEMAND 3RD AVG,AVERAGE COOLING DEMAND ON FLR,302,Average Cooling Demand,3rd Floor,Rm_3xxx,HVAC,,HVAC,EBU3B,,Analog Value
3520,506_2_3003389,506,2,3003389,EBU3B.RM-4xxx..4TH-AVG,NAE 06 Programming AVERAGE FLOOR COOLING DEMAND 4TH AVG,AVERAGE COOLING DEMAND ON FLR,302,Average Cooling Demand,4th Floor,Rm_4xxx,HVAC,,HVAC,EBU3B,,Analog Value
4233,505_2_3002097,505,2,3002097,EBU3B.Rm-Bxxx..BSMT-AVG,NAE 05 Programming AVERAGE FLOOR COOLING DEMAND BSMT AVG,AVERAGE COOLING DEMAND IN BASEMENT,302,Average Cooling Demand,Basement,Rm_Bxxx,HVAC,,HVAC,EBU3B,,Analog Value
775,505_2_3025852,505,2,3025852,EBU3B.RM-1xxx..1ST FLR AVG CLG-PID1,NAE 05 Programming AVERAGE FLOOR COOLING DEMAND 1ST FLR AVG CLG 1ST FLR AVG CLG PID1,Average Floor Cooling PID1,95,Average Floor Cooling PID,1,Rm_1xxx,HVAC,,HVAC,EBU3B,,Analog Value
776,505_2_3025853,505,2,3025853,EBU3B.RM-1xxx..1ST FLR AVG CLG-PID2,NAE 05 Programming AVERAGE FLOOR COOLING DEMAND 1ST FLR AVG CLG 1ST FLR AVG CLG PID2,Average Floor Cooling PID2,95,Average Floor Cooling PID,2,Rm_1xxx,HVAC,,HVAC,EBU3B,,Analog Value
777,505_2_3025854,505,2,3025854,EBU3B.RM-1xxx..1ST FLR AVG CLG-PID3,NAE 05 Programming AVERAGE FLOOR COOLING DEMAND 1ST FLR AVG CLG 1ST FLR AVG CLG PID3,Average Floor Cooling PID3,95,Average Floor Cooling PID,3,Rm_1xxx,HVAC,,HVAC,EBU3B,,Analog Value
778,505_2_3025855,505,2,3025855,EBU3B.RM-1xxx..1ST FLR AVG CLG-PID4,NAE 05 Programming AVERAGE FLOOR COOLING DEMAND 1ST FLR AVG CLG 1ST FLR AVG CLG PID4,Average Floor Cooling PID4,95,Average Floor Cooling PID,4,Rm_1xxx,HVAC,,HVAC,EBU3B,,Analog Value
779,505_2_3025856,505,2,3025856,EBU3B.RM-1xxx..1ST FLR AVG CLG-PID5,NAE 05 Programming AVERAGE FLOOR COOLING DEMAND 1ST FLR AVG CLG 1ST FLR AVG CLG PID5,Average Floor Cooling PID5,95,Average Floor Cooling PID,5,Rm_1xxx,HVAC,,HVAC,EBU3B,,Analog Value
1689,506_2_3015064,506,2,3015064,EBU3B.RM-2xxx..2ND FLR AVG CLG-PID1,NAE 06 Programming AVERAGE FLOOR COOLING DEMAND 2ND FLR AVG CLG 2ND FLR AVG CLG PID1,Average Floor Cooling PID1,95,Average Floor Cooling PID,1,Rm_2xxx,HVAC,,HVAC,EBU3B,,Analog Value
1690,506_2_3015065,506,2,3015065,EBU3B.RM-2xxx..2ND FLR AVG CLG-PID2,NAE 06 Programming AVERAGE FLOOR COOLING DEMAND 2ND FLR AVG CLG 2ND FLR AVG CLG PID2,Average Floor Cooling PID2,95,Average Floor Cooling PID,2,Rm_2xxx,HVAC,,HVAC,EBU3B,,Analog Value
1691,506_2_3015066,506,2,3015066,EBU3B.RM-2xxx..2ND FLR AVG CLG-PID3,NAE 06 Programming AVERAGE FLOOR COOLING DEMAND 2ND FLR AVG CLG 2ND FLR AVG CLG PID3,Average Floor Cooling PID3,95,Average Floor Cooling PID,3,Rm_2xxx,HVAC,,HVAC,EBU3B,,Analog Value
1692,506_2_3015067,506,2,3015067,EBU3B.RM-2xxx..2ND FLR AVG CLG-PID4,NAE 06 Programming AVERAGE FLOOR COOLING DEMAND 2ND FLR AVG CLG 2ND FLR AVG CLG PID4,Average Floor Cooling PID4,95,Average Floor Cooling PID,4,Rm_2xxx,HVAC,,HVAC,EBU3B,,Analog Value
1693,506_2_3015068,506,2,3015068,EBU3B.RM-2xxx..2ND FLR AVG CLG-PID5,NAE 06 Programming AVERAGE FLOOR COOLING DEMAND 2ND FLR AVG CLG 2ND FLR AVG CLG PID5,Average Floor Cooling PID5,95,Average Floor Cooling PID,5,Rm_2xxx,HVAC,,HVAC,EBU3B,,Analog Value
2610,506_2_3015075,506,2,3015075,EBU3B.RM-3xxx..3RD FLR AVG CLG-PID1,NAE 06 Programming AVERAGE FLOOR COOLING DEMAND 3RD FLR AVG CLG 3RD FLR AVG CLG PID1,Average Floor Cooling PID1,95,Average Floor Cooling PID,1,Rm_3xxx,HVAC,,HVAC,EBU3B,,Analog Value
2611,506_2_3015076,506,2,3015076,EBU3B.RM-3xxx..3RD FLR AVG CLG-PID2,NAE 06 Programming AVERAGE FLOOR COOLING DEMAND 3RD FLR AVG CLG 3RD FLR AVG CLG PID2,Average Floor Cooling PID2,95,Average Floor Cooling PID,2,Rm_3xxx,HVAC,,HVAC,EBU3B,,Analog Value
2612,506_2_3015077,506,2,3015077,EBU3B.RM-3xxx..3RD FLR AVG CLG-PID3,NAE 06 Programming AVERAGE FLOOR COOLING DEMAND 3RD FLR AVG CLG 3RD FLR AVG CLG PID3,Average Floor Cooling PID3,95,Average Floor Cooling PID,3,Rm_3xxx,HVAC,,HVAC,EBU3B,,Analog Value
2613,506_2_3015078,506,2,3015078,EBU3B.RM-3xxx..3RD FLR AVG CLG-PID4,NAE 06 Programming AVERAGE FLOOR COOLING DEMAND 3RD FLR AVG CLG 3RD FLR AVG CLG PID4,Average Floor Cooling PID4,95,Average Floor Cooling PID,4,Rm_3xxx,HVAC,,HVAC,EBU3B,,Analog Value
2614,506_2_3015079,506,2,3015079,EBU3B.RM-3xxx..3RD FLR AVG CLG-PID5,NAE 06 Programming AVERAGE FLOOR COOLING DEMAND 3RD FLR AVG CLG 3RD FLR AVG CLG PID5,Average Floor Cooling PID5,95,Average Floor Cooling PID,5,Rm_3xxx,HVAC,,HVAC,EBU3B,,Analog Value
3515,506_2_3015086,506,2,3015086,EBU3B.RM-4xxx..4TH FLR AVG CLG-PID1,NAE 06 Programming AVERAGE FLOOR COOLING DEMAND 4TH FLR AVG CLG 4TH FLR AVG CLG PID1,Average Floor Cooling PID1,95,Average Floor Cooling PID,1,Rm_4xxx,HVAC,,HVAC,EBU3B,,Analog Value
3514,506_2_3015087,506,2,3015087,EBU3B.RM-4xxx..4TH FLR AVG CLG-PID2,NAE 06 Programming AVERAGE FLOOR COOLING DEMAND 4TH FLR AVG CLG 4TH FLR AVG CLG PID2,Average Cooling PID2,95,Average Floor Cooling PID,2,Rm_4xxx,HVAC,,HVAC,EBU3B,,Analog Value
3516,506_2_3015088,506,2,3015088,EBU3B.RM-4xxx..4TH FLR AVG CLG-PID3,NAE 06 Programming AVERAGE FLOOR COOLING DEMAND 4TH FLR AVG CLG 4TH FLR AVG CLG PID3,Average Floor Cooling PID3,95,Average Floor Cooling PID,3,Rm_4xxx,HVAC,,HVAC,EBU3B,,Analog Value
3517,506_2_3015089,506,2,3015089,EBU3B.RM-4xxx..4TH FLR AVG CLG-PID4,NAE 06 Programming AVERAGE FLOOR COOLING DEMAND 4TH FLR AVG CLG 4TH FLR AVG CLG PID4,Average Floor Cooling PID4,95,Average Floor Cooling PID,4,Rm_4xxx,HVAC,,HVAC,EBU3B,,Analog Value
3518,506_2_3015090,506,2,3015090,EBU3B.RM-4xxx..4TH FLR AVG CLG-PID5,NAE 06 Programming AVERAGE FLOOR COOLING DEMAND 4TH FLR AVG CLG 4TH FLR AVG CLG PID5,Average Floor Cooling PID5,95,Average Floor Cooling PID,5,Rm_4xxx,HVAC,,HVAC,EBU3B,,Analog Value
4230,505_2_3025844,505,2,3025844,EBU3B.RM-Bxxx..BSMT AVG CLG-PID1,NAE 05 Programming AVERAGE FLOOR COOLING DEMAND BSMT AVG CLG BSMT AVG CLG PID1,Average Floor Cooling PID1,95,Average Floor Cooling PID,1,Rm_Bxxx,HVAC,,HVAC,EBU3B,,Analog Value
4231,505_2_3025845,505,2,3025845,EBU3B.RM-Bxxx..BSMT AVG CLG-PID2,NAE 05 Programming AVERAGE FLOOR COOLING DEMAND BSMT AVG CLG BSMT AVG CLG PID2,Average Floor Cooling PID2,95,Average Floor Cooling PID,2,Rm_Bxxx,HVAC,,HVAC,EBU3B,,Analog Value
780,505_2_3022110,505,2,3022110,EBU3B.Rm-1xxx..SUPFLO AVG %,NAE 05 Programming AVERAGE SUPFLOW   1st FLR SUPFLO AVG  ,AVERAGE SUPFLOW %,95,Average Supply Flow,,Rm_1xxx,HVAC,,HVAC,EBU3B,,Analog Value
1694,505_2_3023680,505,2,3023680,EBU3B.Rm-2xxx..SUPFLO AVG %,NAE 05 Programming AVERAGE SUPFLOW   2nd FLR SUPFLO AVG  ,AVERAGE SUPFLOW %,95,Average Supply Flow,,Rm_2xxx,HVAC,,HVAC,EBU3B,,Analog Value
2615,506_2_3011378,506,2,3011378,EBU3B.RM-3xxx..3rd FLR-SUPFLO AVG %,NAE 06 Programming AVERAGE SUPFLOW   3rd FLR SUPFLO AVG  ,Average Supply Flow,95,Average Supply Flow,,Rm_3xxx,HVAC,,HVAC,EBU3B,,Analog Value
3519,506_2_3011379,506,2,3011379,EBU3B.RM-4xxx..4th FLR-SUPFLO AVG %,NAE 06 Programming AVERAGE SUPFLOW   4th FLR SUPFLO AVG  ,Average Supply Flow,95,Average Supply Flow,,Rm_4xxx,HVAC,,HVAC,EBU3B,,Analog Value
4232,505_2_3022109,505,2,3022109,EBU3B.Rm-Bxxx..SUPFLO AVG %,NAE 05 Programming AVERAGE SUPFLOW   BSMT SUPFLO AVG,AVERAGE SUPFLOW %,98,Average Supply Flow,,Rm_Bxxx,HVAC,,HVAC,EBU3B,,Analog Value
4531,506_2_3010312,506,2,3010312,BSBM_BATT,BSBM_BATT,Battery Voltage,5,Battery Voltage,,,Battery,,Solar Panel -> Battery,BSB,,Analog Value
4539,506_2_3009730,506,2,3009730,EBU2_BATT,EBU2_BATT,Battery Voltage,5,Battery Voltage,,,Battery,,Solar Panel -> Battery,EBU2,,Analog Value
4549,506_2_3009739,506,2,3009739,HUBBS_BATT,NAE 06 HUBBS_BATT,Battery Voltage,5,Battery Voltage,,,Battery,,Solar Panel -> Battery,Hubbs Hall,,Analog Value
3991,505_4_3000182,505,4,3000182,EBU3B.RM-B220..FAN-C,NAE 05 N2 1 VMA 117 FAN C,Booster Fan Command,,Booster Fan Command,,Rm_B220,Booster Fan,117,VAV -> Rm_B220 -> Booster Fan,EBU3B,,Binary Output
4052,505_4_3000204,505,4,3000204,EBU3B.RM-B230..FAN-C,NAE 05 N2 1 VMA 118 FAN C,Booster Fan Command,,Booster Fan Command,,Rm_B230,Booster Fan,118,VAV -> Rm_B230 -> Booster Fan,EBU3B,,Binary Output
4084,505_4_3000226,505,4,3000226,EBU3B.RM-B240..FAN-C,NAE 05 N2 1 VMA 119 FAN C,Booster Fan Command,,Booster Fan Command,,Rm_B240,Booster Fan,119,VAV -> Rm_B240 -> Booster Fan,EBU3B,,Binary Output
4121,505_4_3000248,505,4,3000248,EBU3B.RM-B250..FAN-C,NAE 05 N2 1 VMA 120 FAN C,Booster Fan Command,,Booster Fan Command,,Rm_B250,Booster Fan,120,VAV -> Rm_B250 -> Booster Fan,EBU3B,,Binary Output
4158,505_4_3000270,505,4,3000270,EBU3B.RM-B260..FAN-C,NAE 05 N2 1 VMA 121 FAN C,Booster Fan Command,,Booster Fan Command,,Rm_B260,Booster Fan,121,VAV -> Rm_B260 -> Booster Fan,EBU3B,,Binary Output
994,506_14_3009396,506,14,3009396,EBU3B.RM-2127..BOXMODE,NAE 06 N2 1 VMA151 BOXMODE,Box Mode,,Box Mode,,Rm_2127,Booster Fan,151,VAV -> Rm_2127 -> Booster Fan,EBU3B,,Multi-State Output
2363,506_14_3009422,506,14,3009422,EBU3B.RM-3223..BOXMODE,NAE 06 N2 1 VMA161 BOXMODE,Box Mode,,Box Mode,,Rm_3223,Booster Fan,161,VAV -> Rm_3223 -> Booster Fan,EBU3B,,Multi-State Output
4238,505_3_3015283,505,3,3015283,EBU3B.CRAC-1.CHNGFILT,NAE 05 N2 2 VND 162 CHNGFILT,Change Filters,,Change Filters,,Server Room,CRAC,1,CRAC -> 1,EBU3B,,Binary Input
4239,505_3_3015347,505,3,3015347,EBU3B.CRAC-2.CHNGFILT,NAE 05 N2 2 VND 163 CHNGFILT,Change Filters,,Change Filters,,Server Room,CRAC,2,CRAC -> 2,EBU3B,,Binary Input
4240,505_3_3015219,505,3,3015219,EBU3B.CRAC-3.CHNGFILT,NAE 05 N2 2 VND 161 CHNGFILT,Change Filters,,Change Filters,,Server Room,CRAC,3,CRAC -> 3,EBU3B,,Binary Input
4241,505_3_3015155,505,3,3015155,EBU3B.CRAC-4.CHNGFILT,NAE 05 N2 2 VND 160 CHNGFILT,Change Filters,,Change Filters,,Server Room,CRAC,4,CRAC -> 4,EBU3B,,Binary Input
3594,505_0_3000045,505,0,3000045,EBU3B.CHW-SYS.CHW-DP,NAE 05 N2 1 DX 12 CHW DP,CHW DIFF PRESS,56,Chilled Water Differential Pressure,,Rm_B102C,Chilled Water System,,Chilled Water System,EBU3B,,Analog Input
3702,505_0_3014658,505,0,3014658,EBU3B.FSCHW.CHW-DP,NAE 05 N2 1 DX 12 File Server CHW System CHW DP,Chilled Water Differential Pressure,56,Chilled Water Differential Pressure,,Rm_B102C,Chilled Water System,CRAC,Chilled Water System,EBU3B,,Analog Input
4559,505_5_3017935,505,5,3017935,EBU3B.Load Shed..CHW-DP Load Shed,NAE 05 Programming EBU3B Load Shed EBU3B CHW DP Load Shed,CHW-DP Load Shed,,Chilled Water Differential Pressure Load Shed,,,Chilled Water System,,Chilled Water System,EBU3B,,Binary Value
3595,505_1_3000058,505,1,3000058,EBU3B.CHW-SYS.CWDP-SP,NAE 05 N2 1 DX 12 CWDP SP,CHW DIFF PRESS SETPOINT,56,Chilled Water Differential Pressure Setpoint,,Rm_B102C,Chilled Water System,,Chilled Water System,EBU3B,,Analog Output
4560,505_2_3017936,505,2,3017936,EBU3B.CHWDP-SP..Load Shed,NAE 05 Programming EBU3B Load Shed EBU3B CHWDP SP Load Shed,CHWDP-SP Load Shed,56,Chilled Water Differential Pressure Setpoint Load Shed,,,Chilled Water System,,Chilled Water System,EBU3B,,Analog Value
3703,505_1_3014679,505,1,3014679,EBU3B.FSCHW.FCWDP-STPT,NAE 05 N2 1 DX 12 File Server CHW System FCWSP SP,Chilled Water Pressure Setpoint,56,Chilled Water Pressure Setpoint,,Rm_B102C,Chilled Water System,CRAC,Chilled Water System,EBU3B,,Analog Output
3521,505_0_3002727,505,0,3002727,EBU3B.AH1-1.CHWR1-T,NAE 05 N2 1 DX 32 CHWR1 T,Chw Ret Temp1,64,Chilled Water Return Temperature,1,Rm_B102C,Cooling Coil,1,AHU -> 1 -> Cooling Coil -> 1,EBU3B,,Analog Input
3522,505_0_3000855,505,0,3000855,EBU3B.AH1-1.CHWR2-T,NAE 05 N2 1 DX 32 CHWR2 T,Chw Ret Temp 2,64,Chilled Water Return Temperature,2,Rm_B102C,Cooling Coil,2,AHU -> 1 -> Cooling Coil -> 2,EBU3B,,Analog Input
3523,505_0_3000856,505,0,3000856,EBU3B.AH1-1.CHWR3-T,NAE 05 N2 1 DX 32 CHWR3 T,Chw Ret Temp 3,64,Chilled Water Return Temperature,3,Rm_B102C,Cooling Coil,3,AHU -> 1 -> Cooling Coil -> 3,EBU3B,,Analog Input
3524,505_0_3000857,505,0,3000857,EBU3B.AH1-1.CHWR4-T,NAE 05 N2 1 DX 32 CHWR4 T,Chw Ret Temp 4,64,Chilled Water Return Temperature,4,Rm_B102C,Cooling Coil,4,AHU -> 1 -> Cooling Coil -> 4,EBU3B,,Analog Input
3704,505_0_3014673,505,0,3014673,EBU3B.FSCHW.CHWS-T,NAE 05 N2 1 DX 12 File Server CHW System CHWS T,Chilled Water Supply Temperature,64,Chilled Water Supply Temperature,,Rm_B102C,Chilled Water System,CRAC,Chilled Water System,EBU3B,,Analog Input
4561,505_2_3015663,505,2,3015663,EBU3B.CO2 Conrol..Co2 Differiential,NAE 05 Programming CO2 Control Co2 Differiencial,CO2 Differential,95,CO2 Differential,,,HVAC,,HVAC,EBU3B,,Analog Value
782,505_3_3014467,505,3,3014467,EBU3B.RM-210..CO2-Hi Alarm,NAE 05 N2 1 VMA 116 CO2 HIA,CO2 Hi Alarm,,CO2 Hi Alarm,,Rm_B210,VAV,116,VAV -> Rm_B210,EBU3B,,Binary Input
3992,505_3_3014457,505,3,3014457,EBU3B.RM-B220..CO2-Hi Alarm,NAE 05 N2 1 VMA 117 CO2 ALM,CO2 Hi Alarm,,CO2 Hi Alarm,,Rm_B220,VAV,117,VAV -> Rm_B220,EBU3B,,Binary Input
4085,505_3_3014471,505,3,3014471,EBU3B.RM-B240..CO2-Hi Alarm,NAE 05 N2 1 VMA 119 CO2 HIA,CO2 Hi Alarm,,CO2 Hi Alarm,,Rm_B240,VAV,119,VAV -> Rm_B240,EBU3B,,Binary Input
4122,505_3_3014473,505,3,3014473,EBU3B.RM-B250..CO2-Hi Alarm,NAE 05 N2 1 VMA 120 CO2 HIA,CO2 Hi Alarm,,CO2 Hi Alarm,,Rm_B250,VAV,120,VAV -> Rm_B250,EBU3B,,Binary Input
4159,505_3_3014475,505,3,3014475,EBU3B.RM-B260..CO2-Hi Alarm,NAE 05 N2 1 VMA 121 CO2 HIA,CO2 Hi Alarm,,CO2 Hi Alarm,,Rm_B260,VAV,121,VAV -> Rm_B260,EBU3B,,Binary Input
4195,505_3_3014477,505,3,3014477,EBU3B.RM-B270..CO2-Hi Alarm,NAE 05 N2 1 VMA 122 CO2 HIA,CO2 Hi Alarm,,CO2 Hi Alarm,,Rm_B270,VAV,122,VAV -> Rm_B270,EBU3B,,Binary Input
1688,505_3_3014469,505,3,3014469,EBU3B.RM-230..CO2-Hi Alarm,NAE 05 N2 1 VMA 118 CO2 HIA,CO2 Hi Alarm,,CO2 High Alarm,,Rm_B230,VAV,118,VAV -> Rm_B230,EBU3B,,Binary Input
3525,505_0_3014570,505,0,3014570,EBU3B.AH1-1..OA-CO2,NAE 05 N2 1 DX 12 AH1 OA CO2,CO2 Outside Air,96,CO2 Level,Outside Air,Rm_B102C,AHU,1,AHU -> 1,EBU3B,,Analog Input
3954,505_0_3014466,505,0,3014466,EBU3B.RMB210..CO2-Level,NAE 05 N2 1 VMA 116 CO2 LVL,CO2 Level,96,CO2 Level,,Rm_B210,Thermostat,116,VAV -> Rm_B210 -> Thermostat,EBU3B,,Analog Input
3993,505_0_3014456,505,0,3014456,EBU3B.RM-B220..CO2-Level,NAE 05 N2 1 VMA 117 CO2 LVL,CO2 Level,96,CO2 Level,,Rm_B220,Thermostat,117,VAV -> Rm_B220 -> Thermostat,EBU3B,,Analog Input
4053,505_0_3014468,505,0,3014468,EBU3B.RM-B230..CO2-Level,NAE 05 N2 1 VMA 118 CO2 LVL,CO2 Level,96,CO2 Level,,Rm_B230,Thermostat,118,VAV -> Rm_B230 -> Thermostat,EBU3B,,Analog Input
4086,505_0_3014470,505,0,3014470,EBU3B.RM-B240..CO2-Level,NAE 05 N2 1 VMA 119 CO2 LVL,CO2 Level,96,CO2 Level,,Rm_B240,Thermostat,119,VAV -> Rm_B240 -> Thermostat,EBU3B,,Analog Input
4123,505_0_3014472,505,0,3014472,EBU3B.RM-B250..CO2-Level,NAE 05 N2 1 VMA 120 CO2 LVL,CO2 Level,96,CO2 Level,,Rm_B250,Thermostat,120,VAV -> Rm_B250 -> Thermostat,EBU3B,,Analog Input
4160,505_0_3014474,505,0,3014474,EBU3B.RM-B260..CO2-Level,NAE 05 N2 1 VMA 121 CO2 LVL,CO2 Level,96,CO2 Level,,Rm_B260,Thermostat,121,VAV -> Rm_B260 -> Thermostat,EBU3B,,Analog Input
4196,505_0_3014476,505,0,3014476,EBU3B.RM-B270..CO2-Level,NAE 05 N2 1 VMA 122 CO2 LVL,CO2 Level,96,CO2 Level,,Rm_B270,Thermostat,122,VAV -> Rm_B270 -> Thermostat,EBU3B,,Analog Input
4242,505_3_3015292,505,3,3015292,EBU3B.CRAC-1.COMPRES1,NAE 05 N2 2 VND 162 COMPRES1,Compressor 1 Overload,,Compressor Overload,1,Server Room,Compressor,1,CRAC -> 1 -> Compressor -> 1,EBU3B,,Binary Input
4246,505_3_3015293,505,3,3015293,EBU3B.CRAC-1.COMPRES2,NAE 05 N2 2 VND 162 COMPRES2,Compressor 2 Overload,,Compressor Overload,2,Server Room,Compressor,1,CRAC -> 1 -> Compressor -> 2,EBU3B,,Binary Input
