dummy index,Unique Identifier,BACnet Device ID,BACnet Object Type,BACnet Object ID,Johnson Controls Name,BACnet Name,BACnet Description,BACnet Unit,Ground Truth Point Type,Point Ref,Location,Equipment Type,Equipment Ref,Equipment Subsystems,Building,Comments,BACnet Type Str
1059,506_0_3000187,506,0,3000187,EBU3B.RM-2134..ACTCLGSP,NAE 06 N2 1 VMA134 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2134,VAV,134,VAV -> Rm_2134,EBU3B,,Analog Input
1075,506_0_3000167,506,0,3000167,EBU3B.RM-2136..ACTCLGSP,NAE 06 N2 1 VMA133 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2136,VAV,133,VAV -> Rm_2136,EBU3B,,Analog Input
1091,506_0_3000147,506,0,3000147,EBU3B.RM-2138..ACTCLGSP,NAE 06 N2 1 VMA132 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2138,VAV,132,VAV -> Rm_2138,EBU3B,,Analog Input
1107,506_0_3000026,506,0,3000026,EBU3B.RM-2140..ACTCLGSP,NAE 06 N2 1 VMA102 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2140,VAV,102,VAV -> Rm_2140,EBU3B,,Analog Input
1124,506_0_3000589,506,0,3000589,EBU3B.RM-2142..ACTCLGSP,NAE 06 N2 1 VMA154 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2142,VAV,154,VAV -> Rm_2142,EBU3B,,Analog Input
1141,506_0_3000568,506,0,3000568,EBU3B.RM-2144..ACTCLGSP,NAE 06 N2 1 VMA153 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2144,VAV,153,VAV -> Rm_2144,EBU3B,,Analog Input
1158,506_0_3000547,506,0,3000547,EBU3B.RM-2146..ACTCLGSP,NAE 06 N2 1 VMA152 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2146,VAV,152,VAV -> Rm_2146,EBU3B,,Analog Input
1175,506_0_3000509,506,0,3000509,EBU3B.RM-2148..ACTCLGSP,NAE 06 N2 1 VMA150 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2148,VAV,150,VAV -> Rm_2148,EBU3B,,Analog Input
1192,506_0_3000488,506,0,3000488,EBU3B.RM-2150..ACTCLGSP,NAE 06 N2 1 VMA149 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2150,VAV,149,VAV -> Rm_2150,EBU3B,,Analog Input
1209,506_0_3000467,506,0,3000467,EBU3B.RM-2154..ACTCLGSP,NAE 06 N2 1 VMA148 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2154,VAV,148,VAV -> Rm_2154,EBU3B,,Analog Input
1226,506_0_3001237,506,0,3001237,EBU3B.RM-2200A..ACTCLGSP,NAE 06 N2 1 VMA104 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2200A,VAV,104,VAV -> Rm_2200A,EBU3B,,Analog Input
1242,506_0_3000067,506,0,3000067,EBU3B.RM-2203..ACTCLGSP,NAE 06 N2 1 VMA128 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2203,VAV,128,VAV -> Rm_2203,EBU3B,,Analog Input
1258,506_0_3001277,506,0,3001277,EBU3B.RM-2207..ACTCLGSP,NAE 06 N2 1 VMA106 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2207,VAV,106,VAV -> Rm_2207,EBU3B,,Analog Input
1270,506_0_3001311,506,0,3001311,EBU3B.RM-2208..ACTCLGSP,NAE 06 N2 1 VMA108 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2208,VAV,108,VAV -> Rm_2208,EBU3B,,Analog Input
1286,506_0_3001294,506,0,3001294,EBU3B.RM-2209..ACTCLGSP,NAE 06 N2 1 VMA107 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2209,VAV,107,VAV -> Rm_2209,EBU3B,,Analog Input
1298,506_0_3001331,506,0,3001331,EBU3B.RM-2214..ACTCLGSP,NAE 06 N2 1 VMA109 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2214,VAV,109,VAV -> Rm_2214,EBU3B,,Analog Input
1314,506_0_3000087,506,0,3000087,EBU3B.RM-2215..ACTCLGSP,NAE 06 N2 1 VMA129 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2215,VAV,129,VAV -> Rm_2215,EBU3B,,Analog Input
1330,506_0_3000107,506,0,3000107,EBU3B.RM-2217..ACTCLGSP,NAE 06 N2 1 VMA130 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2217,VAV,130,VAV -> Rm_2217,EBU3B,,Analog Input
1346,506_0_3001371,506,0,3001371,EBU3B.RM-2218..ACTCLGSP,NAE 06 N2 1 VMA111 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2218,VAV,111,VAV -> Rm_2218,EBU3B,,Analog Input
1362,506_0_3001516,506,0,3001516,EBU3B.RM-2219..ACTCLGSP,NAE 06 N2 1 VMA118 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2219,VAV,118,VAV -> Rm_2219,EBU3B,,Analog Input
1378,506_0_3001351,506,0,3001351,EBU3B.RM-2221..ACTCLGSP,NAE 06 N2 1 VMA110 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2221,VAV,110,VAV -> Rm_2221,EBU3B,,Analog Input
1394,506_0_3001391,506,0,3001391,EBU3B.RM-2226..ACTCLGSP,NAE 06 N2 1 VMA112 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2226,VAV,112,VAV -> Rm_2226,EBU3B,,Analog Input
1410,506_0_3001556,506,0,3001556,EBU3B.RM-2227..ACTCLGSP,NAE 06 N2 1 VMA120 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2227,VAV,120,VAV -> Rm_2227,EBU3B,,Analog Input
1426,506_0_3001616,506,0,3001616,EBU3B.RM-2229A..ACTCLGSP,NAE 06 N2 1 VMA123 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2229A,VAV,123,VAV -> Rm_2229A,EBU3B,,Analog Input
1442,506_0_3001411,506,0,3001411,EBU3B.RM-2230..ACTCLGSP,NAE 06 N2 1 VMA113 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2230,VAV,113,VAV -> Rm_2230,EBU3B,,Analog Input
1459,506_0_3000127,506,0,3000127,EBU3B.RM-2231..ACTCLGSP,NAE 06 N2 1 VMA131 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2231,VAV,131,VAV -> Rm_2231,EBU3B,,Analog Input
1475,506_0_3001432,506,0,3001432,EBU3B.RM-2232..ACTCLGSP,NAE 06 N2 1 VMA114 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2232,VAV,114,VAV -> Rm_2232,EBU3B,,Analog Input
1492,506_0_3001453,506,0,3001453,EBU3B.RM-2234..ACTCLGSP,NAE 06 N2 1 VMA115 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2234,VAV,115,VAV -> Rm_2234,EBU3B,,Analog Input
1510,506_0_3001474,506,0,3001474,EBU3B.RM-2236..ACTCLGSP,NAE 06 N2 1 VMA116 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2236,VAV,116,VAV -> Rm_2236,EBU3B,,Analog Input
1527,506_0_3001495,506,0,3001495,EBU3B.RM-2238..ACTCLGSP,NAE 06 N2 1 VMA117 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2238,VAV,117,VAV -> Rm_2238,EBU3B,,Analog Input
1544,506_0_3001257,506,0,3001257,EBU3B.RM-2240..ACTCLGSP,NAE 06 N2 1 VMA105 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2240,VAV,105,VAV -> Rm_2240,EBU3B,,Analog Input
1560,506_0_3001536,506,0,3001536,EBU3B.RM-2244..ACTCLGSP,NAE 06 N2 1 VMA119 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2244,VAV,119,VAV -> Rm_2244,EBU3B,,Analog Input
1576,506_0_3001576,506,0,3001576,EBU3B.RM-2250..ACTCLGSP,NAE 06 N2 1 VMA121 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2250,VAV,121,VAV -> Rm_2250,EBU3B,,Analog Input
1592,506_0_3001596,506,0,3001596,EBU3B.RM-2256..ACTCLGSP,NAE 06 N2 1 VMA122 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_2256,VAV,122,VAV -> Rm_2256,EBU3B,,Analog Input
