Label,TagSet,AssetType,Asset,AssetParent,isFedBy,City,Building,Wing,Floor,Room,Zone,AssetType2,Asset2
B16T_1F_SRVC_SKSENS_FEMWC,Power_Meter,Power,B16T,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,FemaleWC,,Plug_Load,42-1F-GS-SKSENS_FEMWC
B17R_1F_SRVC_URSENS_MENWC,Power_Meter,Power,B17R,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,MenWC,,Plug_Load,42-1F-GS-URSENS_MENWC
B17S_1F_SRVC_BACKAISLE_Z7 ,Power_Meter,Power,B17S,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,BackAisle,,Plug_Load,42-1F-GS-BACKAISLE_Z7 
B17T_1F_SRVC_WRLS_42108,Power_Meter,Power,B17T,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,,,Plug_Load,42-1F-GS-WRLS_42108
B18R_1F_SRVC_BLND_3F002,Power_Meter,Power,B18R,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,,,Plug_Load,42-1F-GS-BLND_3F002
B18S_1F_SRVC_BLND_42104,Power_Meter,Power,B18S,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,,,Plug_Load,42-1F-GS-BLND_42104
B18T_1F_SRVC_BLND_42104,Power_Meter,Power,B18T,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,,,Plug_Load,42-1F-GS-BLND_42104
B19R_1F_SRVC_BLND_42120,Power_Meter,Power,B19R,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,,,Plug_Load,42-1F-GS-BLND_42120
B19S_1F_SRVC_BLND_42142,Power_Meter,Power,B19S,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,,,Plug_Load,42-1F-GS-BLND_42142
B19T_1F_SRVC_BLND_3F043,Power_Meter,Power,B19T,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,,,Plug_Load,42-1F-GS-BLND_3F043
B1R_1F_FCU01_02_06_07,Power_Meter,Power,B1R,42-1F-FCU,,Dublin,B3,SOR42,FirstFloor,,,FCU,"42-FCU1,42-FCU2,42-FCU6,42-FCU7"
B1R_1F_LGHT_RM_3F041_3F042,Power_Meter,Power,B1R,42-1F-L,,Dublin,B3,SOR42,FirstFloor,RM,,Lighting_System,42-1F-L-RM_3F041_3F042
B1R_1F_SRVC_D4D5D12D13,Power_Meter,Power,B1R,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,,,Plug_Load,42-1F-GS-D4D5D12D13
B1S_1F_FCU03_04_05_08_09,Power_Meter,Power,B1S,42-1F-FCU,,Dublin,B3,SOR42,FirstFloor,,,FCU,"42-FCU3,42-FCU4,42-FCU5,42-FCU8,42-FCU9"
B1S_1F_LGHT_MR_3F039_040,Power_Meter,Power,B1S,42-1F-L,,Dublin,B3,SOR42,FirstFloor,MeetingRoom,,Lighting_System,42-1F-L-MR_3F039_040
B1S_1F_SRVC_D3D6D11D14,Power_Meter,Power,B1S,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,,,Plug_Load,42-1F-GS-D3D6D11D14
B1S_GF_SRVC_I1I2I7I8_QR066_065,Power_Meter,Power,B1S,42-GF-GS,,Dublin,B3,SOR42,GroundFloor,,,Plug_Load,42-GF-GS-I1I2I7I8_QR066_065
B1T_1F_FCU14_19_20_21_22,Power_Meter,Power,B1T,42-1F-FCU,,Dublin,B3,SOR42,FirstFloor,,,FCU,"42-FCU14,42-FCU19,42-FCU20,42-FCU21,42-FCU22"
B1T_1F_LGHT_BACKAISLE_Z7,Power_Meter,Power,B1T,42-1F-L,,Dublin,B3,SOR42,FirstFloor,BackAisle,,Lighting_System,42-1F-L-BACKAISLE_Z7
B1T_1F_SRVC_D20D21D28,Power_Meter,Power,B1T,42-1F-GS,,Dublin,B3,SOR42,FirstFloor,,,Plug_Load,42-1F-GS-D20D21D28
B1T_GF_SRVC_I9I10I15TOI18I23I24,Power_Meter,Power,B1T,42-GF-GS,,Dublin,B3,SOR42,GroundFloor,,,Plug_Load,42-GF-GS-I9I10I15TOI18I23I24
B20S_GF_SRVC_VESDA,Power_Meter,Power,B20S,42-1F-GS,,Dublin,B3,SOR42,GroundFloor,Vesda,,Plug_Load,42-1F-GS-VESDA
